date;region;nb_postes;CR_total_MW;nb_satures;nb_proches_saturation
2026-03-31;AUVERGNE-RHôNE-ALPES;494;7619.7;19;90
2026-03-31;BOURGOGNE-FRANCHE-COMTé;178;1783.42;78;29
2026-03-31;BRETAGNE;120;1633.6;45;18
2026-03-31;CENTRE-VAL DE LOIRE;198;2539.0;79;34
2026-03-31;GRAND EST;321;5194.3;134;49
2026-03-31;HAUTS-DE-FRANCE;280;4267.29;107;44
2026-03-31;ÎLE-DE-FRANCE;192;4213.07;109;29
2026-03-31;NORMANDIE;189;2563.04;78;34
2026-03-31;NOUVELLE-AQUITAINE;344;8083.71;106;59
2026-03-31;OCCITANIE;305;7700.19;91;47
2026-03-31;PAYS DE LA LOIRE;156;2543.99;62;26
2026-03-31;PROVENCE-ALPES-CôTE D'AZUR;342;24426.19;75;39
